continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG,flow_time
NoA,US,100.10.20.2,11,100.10.20.10,100.10.20.3,0.0.0.0,0,0,9,1055,2014-08-14 00:39:48,2014-08-21 19:13:15,3174,61010,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,671607.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2014-08-23 20:50:03,2014-08-23 21:23:27,39673,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2004.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,23,1531,2014-08-23 20:50:03,2014-08-23 21:23:27,80,39673,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2004.0
EU,GB,92.6.84.70,11,92.6.85.110,100.10.20.4,0.0.0.0,0,0,1202,67474,2014-08-20 09:09:30,2014-08-21 20:01:09,37558,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,125499.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.110,0.0.0.0,0,0,2489,3683698,2014-08-20 09:09:30,2014-08-21 20:01:09,80,37558,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,125499.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,59358,2014-08-23 21:23:33,2014-08-23 21:52:48,39682,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,1755.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1577,2014-08-23 21:23:33,2014-08-23 21:52:48,80,39682,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1755.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2014-08-21 20:32:11,2014-08-21 20:32:27,38499,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,16.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2014-08-21 20:32:11,2014-08-21 20:32:27,80,38499,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,16.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,44,59410,2014-08-23 21:52:59,2014-08-23 22:22:18,39696,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,1759.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,25,1629,2014-08-23 21:52:59,2014-08-23 22:22:18,80,39696,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1759.0
EU,GB,92.6.84.69,11,92.6.85.101,100.10.20.4,0.0.0.0,0,0,5,336,2014-08-21 20:37:38,2014-08-21 20:38:40,38502,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,62.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.101,0.0.0.0,0,0,4,502,2014-08-21 20:37:38,2014-08-21 20:38:40,80,38502,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,62.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2014-08-21 20:38:28,2014-08-21 20:38:33,3306,2533,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2014-08-21 20:38:28,2014-08-21 20:38:33,2533,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
EU,GB,92.6.84.70,11,92.6.85.110,100.10.20.4,0.0.0.0,0,0,1013,60523,2014-08-18 03:48:33,2014-08-21 21:07:58,36136,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,321565.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.110,0.0.0.0,0,0,1999,2931418,2014-08-18 03:48:33,2014-08-21 21:07:58,80,36136,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,321565.0
EU,RO,89.44.100.77,15,89.44.100.109,100.10.20.4,0.0.0.0,0,0,48,2851,2014-08-21 15:51:19,2014-08-21 20:54:05,38400,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,18166.0
NoA,US,100.10.20.4,11,100.10.20.4,89.44.100.109,0.0.0.0,0,0,73,101099,2014-08-21 15:51:19,2014-08-21 20:54:05,80,38400,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,18166.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2014-08-21 20:53:53,2014-08-21 20:53:58,3306,2534,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2014-08-21 20:53:53,2014-08-21 20:53:58,2534,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,42,57216,2014-08-23 22:22:24,2014-08-23 22:55:48,39705,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2004.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1601,2014-08-23 22:22:24,2014-08-23 22:55:48,80,39705,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2004.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.8,0.0.0.0,0,0,11,1806,2014-08-20 23:02:07,2014-08-21 21:12:00,445,3098,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,79793.0
NoA,US,100.10.20.0,11,100.10.20.8,100.10.20.3,0.0.0.0,0,0,14,3817,2014-08-20 23:02:07,2014-08-21 21:12:00,3098,445,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,79793.0
EU,GB,92.6.84.70,11,92.6.85.110,100.10.20.4,0.0.0.0,0,0,16,935,2014-08-21 21:24:44,2014-08-21 21:27:17,38533,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,153.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.110,0.0.0.0,0,0,14,12577,2014-08-21 21:24:44,2014-08-21 21:27:17,80,38533,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,153.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2014-08-23 22:55:54,2014-08-23 23:29:18,39721,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2004.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,23,1549,2014-08-23 22:55:54,2014-08-23 23:29:18,80,39721,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2004.0
EU,GB,92.6.84.66,11,92.6.85.122,100.10.20.4,0.0.0.0,0,0,863,51739,2014-08-20 04:26:43,2014-08-21 21:50:11,37418,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,149008.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.122,0.0.0.0,0,0,1646,2407405,2014-08-20 04:26:43,2014-08-21 21:50:11,80,37418,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,149008.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2014-08-21 22:09:16,2014-08-21 22:09:19,38550,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,3.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2014-08-21 22:09:16,2014-08-21 22:09:19,80,38550,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,3.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2014-08-23 23:29:31,2014-08-24 00:02:58,39728,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2007.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,23,1531,2014-08-23 23:29:31,2014-08-24 00:02:58,80,39728,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2007.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,40,54216,2014-08-24 00:03:04,2014-08-24 00:36:29,39748,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2005.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2014-08-24 00:03:04,2014-08-24 00:36:29,80,39748,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2005.0
EU,GB,92.6.84.69,11,92.6.85.101,100.10.20.4,0.0.0.0,0,0,6,388,2014-08-21 22:52:25,2014-08-21 22:53:33,38583,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,68.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.101,0.0.0.0,0,0,5,554,2014-08-21 22:52:25,2014-08-21 22:53:33,80,38583,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,68.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2014-08-21 22:53:22,2014-08-21 22:53:27,3306,2535,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2014-08-21 22:53:22,2014-08-21 22:53:27,2535,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2014-08-24 00:36:35,2014-08-24 01:10:00,39765,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2005.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2014-08-24 00:36:35,2014-08-24 01:10:00,80,39765,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2005.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2014-08-21 23:45:47,2014-08-21 23:45:55,38617,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,8.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2014-08-21 23:45:47,2014-08-21 23:45:55,80,38617,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,8.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2014-08-24 01:10:13,2014-08-24 01:43:39,39775,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2006.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1577,2014-08-24 01:10:13,2014-08-24 01:43:39,80,39775,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2006.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.9,0.0.0.0,0,0,11,1806,2014-08-21 01:41:47,2014-08-22 00:04:27,445,3048,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,80560.0
NoA,US,100.10.20.1,11,100.10.20.9,100.10.20.3,0.0.0.0,0,0,14,3817,2014-08-21 01:41:47,2014-08-22 00:04:27,3048,445,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,80560.0
